g_id,StudentUpdateStep,SGLDIteration,Loss,w0_Bias,grad_w0,w1_Weight,grad_w1
0,0,1000,3.796525e+00,6.029438e-01,-2.052135e+00,-6.857194e-01,-3.984925e+00
1,0,1000,1.789865e+01,-2.342159e-01,-5.785731e+00,2.033263e-01,-1.432490e+01
0,20,1400,2.586022e+00,7.977042e-01,-1.385268e+00,-4.884333e-01,-3.256434e+00
1,20,1400,1.036986e+01,-3.885125e-02,-4.082324e+00,3.997562e-01,-1.092342e+01
0,40,1800,1.801707e+00,9.627273e-01,-7.916643e-01,-3.040217e-01,-2.631542e+00
1,40,1800,5.892426e+00,1.326717e-01,-2.668669e+00,5.792565e-01,-8.210301e+00
0,60,2200,1.375180e+00,1.079667e+00,-4.110718e-01,-1.377216e-01,-2.197083e+00
1,60,2200,4.002406e+00,2.681349e-01,-1.791173e+00,7.354143e-01,-6.647782e+00
0,80,2600,1.092986e+00,1.148470e+00,-9.130925e-02,1.164314e-02,-1.827855e+00
1,80,2600,2.645968e+00,3.680634e-01,-1.000164e+00,8.707758e-01,-5.192619e+00
0,100,3000,8.266594e-01,1.164717e+00,1.277229e-01,1.450833e-01,-1.469341e+00
1,100,3000,1.453716e+00,4.285513e-01,-2.229766e-01,9.844524e-01,-3.440540e+00
0,120,3400,6.214095e-01,1.141563e+00,1.779969e-01,2.619464e-01,-1.230378e+00
1,120,3400,9.321834e-01,4.470707e-01,1.429989e-01,1.070232e+00,-2.390716e+00
0,140,3800,5.148975e-01,1.100795e+00,1.911874e-01,3.668111e-01,-1.100299e+00
1,140,3800,8.300196e-01,4.391153e-01,2.009328e-01,1.136820e+00,-2.182471e+00
0,160,4200,4.286045e-01,1.050311e+00,2.171144e-01,4.654650e-01,-9.740795e-01
1,160,4200,6.972108e-01,4.224992e-01,2.909557e-01,1.199942e+00,-1.889056e+00
0,180,4600,3.327786e-01,9.923941e-01,2.209180e-01,5.567939e-01,-8.368783e-01
1,180,4600,5.013970e-01,3.950762e-01,4.121442e-01,1.255428e+00,-1.376957e+00
0,200,5000,2.670124e-01,9.296272e-01,2.145211e-01,6.402274e-01,-7.372847e-01
1,200,5000,3.948017e-01,3.573125e-01,4.301089e-01,1.300961e+00,-1.138952e+00
0,220,5400,2.050287e-01,8.676780e-01,1.721160e-01,7.171503e-01,-6.578357e-01
1,220,5400,3.111544e-01,3.160446e-01,3.663899e-01,1.340427e+00,-1.036081e+00
0,240,5800,1.442429e-01,8.142614e-01,1.553986e-01,7.879100e-01,-5.435978e-01
1,240,5800,1.995181e-01,2.768246e-01,3.997093e-01,1.375722e+00,-6.520799e-01
0,260,6200,1.013555e-01,7.660204e-01,1.151986e-01,8.499259e-01,-4.667686e-01
1,260,6200,1.378312e-01,2.357092e-01,3.157237e-01,1.401579e+00,-5.604668e-01
0,280,6600,7.082240e-02,7.266674e-01,8.575553e-02,9.053363e-01,-3.977363e-01
1,280,6600,9.540585e-02,2.011674e-01,2.361476e-01,1.424857e+00,-5.025896e-01
0,300,7000,4.499413e-02,6.946232e-01,7.890593e-02,9.531457e-01,-3.094300e-01
1,300,7000,5.388421e-02,1.710943e-01,2.395160e-01,1.443220e+00,-2.540044e-01
0,320,7400,3.207477e-02,6.682289e-01,4.333686e-02,9.935558e-01,-2.775919e-01
1,320,7400,4.619347e-02,1.456471e-01,9.934582e-02,1.457258e+00,-4.185351e-01
0,340,7800,2.394057e-02,6.480616e-01,5.310792e-02,1.029787e+00,-2.289315e-01
1,340,7800,3.466561e-02,1.307889e-01,9.557438e-02,1.474656e+00,-3.556032e-01
0,360,8200,1.794125e-02,6.279776e-01,4.830191e-02,1.061029e+00,-1.965033e-01
1,360,8200,2.867028e-02,1.181555e-01,7.233268e-02,1.490583e+00,-3.496416e-01
0,380,8600,1.168073e-02,6.101223e-01,2.483190e-02,1.088749e+00,-1.684026e-01
1,380,8600,2.168399e-02,1.085922e-01,4.674010e-02,1.506787e+00,-3.121737e-01
0,400,9000,7.115728e-03,5.970499e-01,2.854932e-02,1.112128e+00,-1.250992e-01
1,400,9000,1.200742e-02,9.900887e-02,8.026750e-02,1.519273e+00,-1.528758e-01
0,420,9400,4.312550e-03,5.865846e-01,2.118352e-03,1.131140e+00,-1.104353e-01
1,420,9400,1.115352e-02,8.919787e-02,7.559726e-03,1.527879e+00,-2.175632e-01
0,440,9800,2.758821e-03,5.851622e-01,-6.762647e-04,1.148323e+00,-8.968855e-02
1,440,9800,1.121399e-02,8.863974e-02,-9.170482e-03,1.539993e+00,-2.235385e-01
